lon,lat,class,datetime,seed,eta_rho,xi_rho,temp,salt
150.09227933221814,-37.09591408017556,BS,2002-09-29 12:00:00,880735,33,73,18.76383399963379,35.63592529296875
150.95431224851248,-36.36073389608798,BS,2002-09-29 12:00:00,880735,54,91,18.20751190185547,35.558006286621094
150.5564509025305,-35.551133828669535,BS,2002-09-29 12:00:00,880735,69,66,19.10129165649414,35.57066345214844
150.74985572349394,-35.54214169183466,BS,2002-09-29 12:00:00,880735,70,73,19.11658477783203,35.595882415771484
150.8161659478243,-35.26288586896253,BS,2002-09-29 12:00:00,880735,76,71,18.888811111450195,35.53987121582031
150.62828697888833,-35.23580980930284,BS,2002-09-29 12:00:00,880735,76,64,18.46009063720703,35.595123291015625
150.7001230552462,-35.62303461109408,BS,2002-09-29 12:00:00,880735,68,72,19.19862937927246,35.61269760131836
151.92133635332982,-37.250021857797385,BS,2002-09-29 12:00:00,880735,41,135,20.861223220825195,35.627716064453125
152.1976289547062,-37.24122416825028,BS,2002-09-29 12:00:00,880735,43,143,20.84646224975586,35.631282806396484
152.00974998577027,-37.293994897153446,BS,2002-09-29 12:00:00,880735,41,138,20.87139320373535,35.62858581542969
151.96554316955005,-34.62421408089108,EAC,2011-09-26 12:00:00,880735,97,102,21.080320358276367,35.59357452392578
151.7997676087242,-34.83765715591859,EAC,2011-09-26 12:00:00,880735,91,99,20.68076515197754,35.581485748291016
151.72793153236634,-35.199694333099224,EAC,2011-09-26 12:00:00,880735,83,101,20.893991470336914,35.59006881713867
152.06500850604553,-35.398130445963815,EAC,2011-09-26 12:00:00,880735,81,116,20.942825317382812,35.63669967651367
152.03185339388037,-35.618542704029245,EAC,2011-09-26 12:00:00,880735,76,118,20.836856842041016,35.636531829833984
152.03185339388037,-35.47466853310065,EAC,2011-09-26 12:00:00,880735,80,116,20.910663604736328,35.63577651977539
151.91028464927476,-35.45666611765592,EAC,2011-09-26 12:00:00,880735,79,111,20.8619327545166,35.63895797729492
152.1147411742933,-35.83386939394128,EAC,2011-09-26 12:00:00,880735,72,123,20.834531784057617,35.639591217041016
151.05930343703548,-36.86637414409209,EAC,2011-09-26 12:00:00,880735,44,102,20.11263656616211,35.58016586303711
